titleType,originalTitle,genres,runtimeMinutes,startYear,isAdult,averageRating,region,actor,actress,director,producer
movie,Tian mai zhuan qi,"Action,Adventure,Romance",103.0,2002.0,0,4.5,XWW,"Ben Chaplin, Sihung Lung, Richard Roxburgh",Michelle Yeoh,Peter Pau,Fengjun Gao
movie,The Transporter,"Action,Crime,Thriller",92.0,2002.0,0,6.8,CA,"Jason Statham, François Berléand, Matt Schulze",Qi Shu,"Corey Yuen, Louis Leterrier",Steven Chasman
movie,Yeopgijeogin geunyeo,"Comedy,Drama,Romance",123.0,2001.0,0,8.0,XWW,"Tae-Hyun Cha, In-mun Kim","Ji-Hyun Jun, Wok-suk Song",Jae-young Kwak,Chul Shin
movie,2009 loseuteu maemorijeu,"Action,Drama,Sci-Fi",136.0,2002.0,0,6.1,XWW,"Dong-Gun Jang, Tôru Nakamura, Goo Shin",Jin-ho Seo,Si-myung Lee,"Shinichiro Nakata, Yoon-young Kim"
movie,Aalavandhan,"Action,Thriller",177.0,2001.0,0,7.1,IN,Kamal Haasan,"Kitu Gidwani, Manisha Koirala, Raveena Tandon",Suresh Krishna,Kalaippuli S. Thanu
movie,Kaante,"Action,Crime,Drama",150.0,2002.0,0,6.6,IN,"Amitabh Bachchan, Sanjay Dutt, Mahesh Manjrekar, Sunil Shetty",,Sanjay Gupta,"Lawrence Mortorff, Pritish Nandy"
movie,Minä ja Morrison,"Crime,Romance",91.0,2001.0,0,4.8,XWW,"Samuli Edelmann, Roope Karisto","Irina Björklund, Eva Röse",Lenka Hellstedt,Markus Selin
movie,Sprängaren,"Drama,Thriller",128.0,2001.0,0,4.8,XWW,"Reine Brynolfsson, Örjan Ramberg","Pernilla August, Helena Bergström",Colin Nutley,Maritha Norstedt
movie,Austin Powers in Goldmember,"Action,Adventure,Comedy",94.0,2002.0,0,6.2,CA,"Mike Myers, Seth Green, Michael York",Beyoncé,Jay Roach,"Demi Moore, John S. Lyons, Eric McLeod, Jennifer Todd"
movie,Bomnaleun ganda,"Drama,Romance",106.0,2001.0,0,7.1,XWW,"Jong-hak Baek, In-hwan Park, Ji-Tae Yoo","Yeong-ae Lee, Sang-hui Baek, Yôko Moriguchi",Jin-ho Hur,Seon-a Kim
movie,Killerdeului suda,"Action,Comedy,Drama",120.0,2001.0,0,6.9,XWW,"Ha-kyun Shin, Hyeon-jun Shin, Jae-yeong Jeong, Won Bin",,Jin Jang,"Woo-Suk Kang, John Ledford"
movie,Knallharte Jungs,"Comedy,Fantasy,Romance",85.0,2002.0,0,4.6,PH,"Tobias Schenke, Axel Stein","Diana Amft, Rebecca von Mitzlaff",Granz Henman,Bernd Eichinger
movie,Am zin 2,"Action,Crime",95.0,2001.0,0,5.8,XWW,"Ekin Cheng, Shiu Hung Hui, Ching Wan Lau",Kelly Lin,"Wing-Cheong Law, Johnnie To",
movie,Wrong Turn,Horror,84.0,2003.0,0,6.1,IN,"Desmond Harrington, Jeremy Sisto","Emmanuelle Chriqui, Eliza Dushku",Rob Schmidt,"Erik Feig, Robert Kulzer, Stan Winston, Brian J. Gilbert"
movie,xXx,"Action,Adventure,Thriller",124.0,2002.0,0,5.9,IN,"Samuel L. Jackson, Vin Diesel, Marton Csokas",Asia Argento,Rob Cohen,Neal H. Moritz
movie,3 zéros,"Comedy,Sport",98.0,2002.0,0,4.3,XWW,"Gérard Darmon, Lorànt Deutsch, Gérard Lanvin, Samuel Le Bihan",,Fabien Onteniente,"Eric Altmayer, Nicolas Altmayer"
movie,Vendredi soir,"Drama,Romance",90.0,2002.0,0,6.7,XWW,Vincent Lindon,"Hélène Fillières, Valérie Lemercier, Hélène de Saint-Père",Claire Denis,Bruno Pesery
movie,Koroshiya 1,"Action,Comedy,Crime",129.0,2001.0,0,7.0,XWW,"Tadanobu Asano, Shin'ya Tsukamoto, Nao Ohmori",Paulyn Sun,Takashi Miike,"Akiko Funatsu, Dai Miyazaki"
movie,Ag-o,Drama,102.0,1996.0,0,6.6,XWW,"Jae-Hyun Cho, Mu-song Jeon, Jae-Hong Ahn",Yun-kyeong Woo,Ki-duk Kim,
movie,Company,"Action,Crime,Drama",155.0,2002.0,0,8.0,IN,"Ajay Devgn, Mohanlal","Seema Biswas, Manisha Koirala",Ram Gopal Varma,"C. Aswani Dutt, Boney Kapoor"
movie,Go-yang-i-leul boo-tak-hae,Drama,112.0,2001.0,0,7.3,XWW,,"Doona Bae, Yo-won Lee, Ji-young Ok, Eung-sil Lee",Jae-eun Jeong,Ki-min Oh
movie,Jopog manura,"Action,Comedy,Crime",107.0,2001.0,0,6.4,XWW,"Jae-mo Ahn, Se-jin Jang, In-kwon Kim",Eun-Kyung Shin,Jin-gyu Cho,
movie,Klatretøsen,"Action,Adventure,Crime",90.0,2002.0,0,5.9,XWW,"Stefan Pagels Andersen, Mads Ravn, William Haugaard Petersen",Julie Zangenberg,Fabian Wullenweber,"Bo Ehrhardt, Lottie Terp Jakobsen"
